55.0 51.71 122.41 12.3
55.0 51.71 113.27 12.1
55.0 51.75 98.61 12.0
55.0 51.64 146.24 12.7
55.0 51.64 117.97 12.1
55.0 51.65 113.37 12.8
55.0 51.65 112.96 12.3
55.0 51.65 117.95 11.6
55.0 51.58 140.73 12.5
55.0 51.55 122.40 12.5
55.0 51.55 127.77 11.9
55.0 51.53 122.36 12.8
55.0 51.53 122.72 12.7
55.0 51.48 131.81 12.8
55.0 51.51 119.25 12.9
55.0 51.52 112.76 12.9
55.0 51.53 118.15 12.9
55.0 51.53 122.71 13.1
55.0 51.51 127.29 12.8
55.0 51.51 117.54 12.9
55.0 51.48 127.05 12.9
55.0 51.65 74.17 13.4
55.0 51.66 102.94 12.8
55.0 51.67 113.33 12.5
55.0 51.67 117.92 12.5
55.0 51.66 117.93 13.4
55.0 51.70 98.54 12.5
55.0 51.67 127.03 12.5
55.0 51.65 117.76 12.7
55.0 51.63 122.54 12.3
55.0 51.59 127.23 12.4
55.0 51.58 127.61 12.5
55.0 51.57 117.64 12.5
55.0 51.48 145.99 12.7
55.0 51.48 128.07 13.2
55.0 51.50 112.72 12.7
55.0 51.48 127.33 12.3
55.0 51.43 136.47 12.8
55.0 51.42 132.69 13.5
55.0 51.44 112.64 12.5
55.0 51.46 118.26 13.1
55.0 51.47 122.82 13.0
55.0 51.51 109.01 13.2
55.0 51.49 122.30 12.9
55.0 51.40 158.50 13.0
55.0 51.39 122.15 13.3
55.0 51.40 117.37 13.2
55.0 51.40 127.48 13.2
55.0 51.42 118.33 12.6
55.0 51.44 118.29 13.3
55.0 51.49 103.05 13.2
55.0 51.50 123.64 13.1
55.0 51.49 122.29 12.9
55.0 51.48 127.35 12.7
55.0 51.44 136.47 13.3
55.0 51.48 109.06 13.1
55.0 51.40 145.86 13.0
55.0 51.43 118.32 13.2
55.0 51.45 118.29 12.7
55.0 51.51 98.23 13.1
55.0 51.50 117.53 12.1
55.0 51.53 113.57 12.7
55.0 51.55 113.53 12.8
55.0 51.64 83.80 12.7
55.0 51.63 117.73 12.7
55.0 51.64 113.38 12.6
55.0 51.66 113.36 12.4
55.0 51.68 103.35 12.5
55.0 51.77 91.53 12.1
55.0 51.79 98.47 12.1
55.0 51.78 103.56 11.9
55.0 51.84 100.10 11.9
55.0 51.75 136.97 11.8
55.0 51.72 122.39 11.9
55.0 51.73 108.27 11.5
55.0 51.79 100.34 12.1
55.0 51.83 93.87 11.9
55.0 51.85 98.77 12.5
55.0 51.84 108.44 11.6
55.0 51.83 113.07 11.7
55.0 51.88 89.07 11.7
55.0 51.92 83.76 11.5
55.0 51.92 108.32 11.4
55.0 51.93 98.91 11.2
