55.0 57.15 -94.62 14.2
55.0 57.09 -78.33 14.4
55.0 57.12 -109.95 13.7
55.0 57.09 -98.38 13.8
55.0 57.07 -89.12 13.5
55.0 57.03 -87.22 14.4
55.0 57.01 -88.44 13.9
55.0 57.02 -97.95 13.3
55.0 56.97 -81.70 13.9
55.0 56.97 -91.97 13.1
55.0 56.96 -87.84 13.0
55.0 56.92 -80.93 12.9
55.0 56.84 -64.32 12.5
55.0 56.80 -73.98 12.3
55.0 56.79 -80.56 12.6
55.0 56.77 -82.59 12.1
55.0 56.74 -69.06 11.8
55.0 56.71 -68.72 11.6
55.0 56.71 -83.02 11.5
55.0 56.68 -72.26 10.9
55.0 56.67 -77.28 11.3
55.0 56.65 -68.08 11.2
55.0 56.52 -39.15 11.0
55.0 56.51 -66.57 10.6
55.0 56.42 -42.97 11.1
55.0 56.49 -90.20 9.7
55.0 56.56 -94.52 10.4
55.0 56.52 -55.83 9.9
55.0 56.39 -17.42 10.2
55.0 56.37 -65.51 9.6
55.0 56.43 -80.10 9.5
55.0 56.38 -48.97 9.5
55.0 56.35 -54.06 9.8
55.0 56.30 -42.75 9.4
55.0 56.31 -62.02 8.9
55.0 56.37 -81.44 8.8
55.0 56.28 -31.95 8.8
55.0 56.24 -38.77 8.9
55.0 56.17 -30.64 9.2
55.0 56.10 -29.93 8.2
55.0 55.98 -7.59 7.8
55.0 55.92 -16.68 7.2
55.0 55.89 -32.98 7.3
55.0 55.85 -27.26 6.8
55.0 55.85 -37.85 6.5
55.0 55.85 -36.05 6.4
55.0 55.80 -18.90 6.5
55.0 55.75 -23.07 6.3
55.0 55.67 -1.38 6.0
55.0 55.64 -17.79 5.6
55.0 55.61 -19.31 5.0
55.0 55.54 -2.80 5.2
55.0 55.54 -21.53 4.7
55.0 55.51 -11.30 3.8
55.0 55.48 -13.98 4.4
55.0 55.43 -5.26 4.2
55.0 55.41 -10.64 4.0
55.0 55.35 4.53 3.9
55.0 55.35 -15.09 3.5
55.0 55.32 -4.46 3.3
55.0 55.29 -3.19 3.3
55.0 55.27 -5.07 3.2
55.0 55.23 2.82 2.9
55.0 55.17 14.62 2.9
55.0 55.15 3.07 2.9
55.0 55.14 -2.75 2.6
55.0 55.13 -3.14 2.5
